Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 28",boxscore,ATL,@,PHI,L,4,10,,0-1,3,1,Nola,Teheran,,3:04,D,"44,469",1.08,-,
2,"Saturday, Mar 30",boxscore,ATL,@,PHI,L,6,8,,0-2,4,2,Morgan,Parsons,,3:27,D,"44,597",1.07,--,
3,"Sunday, Mar 31",boxscore,ATL,@,PHI,L,1,5,,0-3,5,3,Arrieta,Wright,,3:17,N,"41,410",1.01,---,
4,"Monday, Apr 1",boxscore,ATL,,CHC,W,8,0,,3-Jan,5,2.5,Parsons,Hendricks,,3:12,N,"41,912",0.8,+,
5,"Wednesday, Apr 3",boxscore,ATL,,CHC,W,6,4,,3-Feb,3,2.5,Jackson,Cishek,Vizcaino,3:32,N,"37,398",0.87,++,
6,"Thursday, Apr 4",boxscore,ATL,,CHC,W,9,4,,3-Mar,3,1.5,Fried,Darvish,,3:29,N,"33,815",0.87,+++,
7,"Friday, Apr 5",boxscore,ATL,,MIA,W,4,0,,3-Apr,3,1.5,Gausman,Lopez,,2:35,N,"29,218",1.01,++++,
8,"Saturday, Apr 6",boxscore,ATL,,MIA,L,2,4,,4-Apr,3,2,Romo,Minter,Conley,3:16,N,"35,618",1.06,-,
9,"Sunday, Apr 7",boxscore,ATL,,MIA,W-wo,4,3,,4-May,3,1.5,Vizcaino,Conley,,2:33,D,"32,551",1.02,+,
10,"Monday, Apr 8",boxscore,ATL,@,COL,W,8,6,,4-Jun,3,1.5,Teheran,Freeland,Minter,2:59,N,"25,199",0.98,++,
11,"Tuesday, Apr 9",boxscore,ATL,@,COL,W,7,1,,4-Jul,2,0.5,Fried,Marquez,,3:12,N,"26,124",1.01,+++,
12,"Thursday, Apr 11",boxscore,ATL,,NYM,L,3,6,,5-Jul,3,1,Matz,Gausman,Diaz,3:14,N,"24,015",1.24,-,
13,"Friday, Apr 12",boxscore,ATL,,NYM,L,2,6,,6-Jul,3,2,Wheeler,Wright,,3:07,N,"33,334",1.19,--,
14,"Saturday, Apr 13",boxscore,ATL,,NYM,W,11,7,,6-Aug,3,1,Toussaint,Oswalt,,3:34,N,"40,117",1.16,+,
15,"Sunday, Apr 14",boxscore,ATL,,NYM,W,7,3,,6-Sep,2,0.5,Teheran,deGrom,,3:36,N,"23,385",1.22,++,
16,"Tuesday, Apr 16",boxscore,ATL,,ARI,L,6,9,,7-Sep,3,1,Hirano,Minter,Holland,3:36,N,"22,407",1.06,-,
17,"Wednesday, Apr 17",boxscore,ATL,,ARI,L,2,3,10,8-Sep,3,2,Bradley,Biddle,Holland,3:32,N,"22,356",1.05,--,
18,"Thursday, Apr 18",boxscore,ATL,,ARI,L,1,4,,9-Sep,4,2,Weaver,Soroka,Hirano,3:25,D,"24,193",0.99,---,
